CUSTOMERNAME,DATE,SATISFACCION
Alpha Cognac,7/04/2003,5
Alpha Cognac,11/08/2003,9
Alpha Cognac,28/03/2005,5
"Amica Models & Co,",17/08/2004,5
"Amica Models & Co,",9/09/2004,7
"Anna's Decorations, Ltd",11/04/2003,5
"Anna's Decorations, Ltd",9/11/2003,8
"Anna's Decorations, Ltd",20/01/2005,10
"Anna's Decorations, Ltd",3/09/2005,6
Atelier graphique,20/05/2003,6
Atelier graphique,27/09/2004,5
Atelier graphique,25/11/2004,9
"Australian Collectables, Ltd",21/11/2003,5
"Australian Collectables, Ltd",7/02/2004,5
"Australian Collectables, Ltd",5/09/2005,10
"Australian Collectors, Co,",29/04/2003,8
"Australian Collectors, Co,",21/05/2003,5
"Australian Collectors, Co,",20/02/2004,6
"Australian Collectors, Co,",24/11/2004,9
"Australian Collectors, Co,",29/11/2004,7
"Australian Gift Network, Co",11/06/2003,6
"Australian Gift Network, Co",25/09/2003,10
"Australian Gift Network, Co",2/02/2005,4
"Auto Assoc, & Cie,",2/02/2004,10
"Auto Assoc, & Cie,",10/11/2004,10
Auto Canal Petit,15/01/2004,8
Auto Canal Petit,26/05/2004,5
Auto Canal Petit,4/07/2005,7
"Auto-Moto Classics Inc,",16/06/2003,4
"Auto-Moto Classics Inc,",12/03/2004,9
"Auto-Moto Classics Inc,",9/07/2004,9
"AV Stores, Co,",18/03/2003,7
"AV Stores, Co,",14/10/2004,6
"AV Stores, Co,",17/11/2004,5
Baane Mini Imports,29/01/2003,6
Baane Mini Imports,10/10/2003,4
Baane Mini Imports,11/05/2004,7
Baane Mini Imports,15/10/2004,8
"Bavarian Collectables Imports, Co,",15/09/2004,4
"Blauer See Auto, Co,",10/04/2003,6
"Blauer See Auto, Co,",1/09/2003,6
"Blauer See Auto, Co,",15/03/2004,5
"Blauer See Auto, Co,",11/05/2004,4
"Boards & Toys Co,",10/02/2003,7
"Boards & Toys Co,",2/08/2005,9
CAF Imports,11/07/2003,10
CAF Imports,19/03/2004,7
"Cambridge Collectables Co,",5/08/2004,8
"Cambridge Collectables Co,",3/10/2004,6
Canadian Gift Exchange Network,12/05/2003,6
Canadian Gift Exchange Network,22/10/2004,10
"Classic Gift Ideas, Inc",13/11/2003,8
"Classic Gift Ideas, Inc",14/10/2004,6
"Classic Legends Inc,",4/04/2003,4
"Classic Legends Inc,",20/10/2003,9
"Classic Legends Inc,",21/11/2004,7
"Clover Collections, Co,",16/09/2004,4
"Clover Collections, Co,",2/12/2004,4
"Collectable Mini Designs Co,",19/02/2004,9
"Collectable Mini Designs Co,",26/02/2004,8
"Collectables For Less Inc,",9/05/2003,4
"Collectables For Less Inc,",21/07/2004,4
"Collectables For Less Inc,",20/01/2005,9
"Corporate Gift Ideas Co,",10/10/2003,5
"Corporate Gift Ideas Co,",18/10/2003,8
"Corporate Gift Ideas Co,",17/02/2005,7
"Corporate Gift Ideas Co,",23/02/2005,8
"Corrida Auto Replicas, Ltd",28/05/2003,8
"Corrida Auto Replicas, Ltd",11/01/2004,7
"Corrida Auto Replicas, Ltd",26/01/2004,6
"Cruz & Sons Co,",3/03/2003,5
"Cruz & Sons Co,",27/11/2003,6
"Cruz & Sons Co,",16/11/2004,10
Daedalus Designs Imports,11/11/2003,5
Daedalus Designs Imports,21/02/2004,6
Danish Wholesale Imports,2/11/2003,9
Danish Wholesale Imports,6/08/2004,7
Danish Wholesale Imports,4/09/2004,7
Danish Wholesale Imports,11/10/2004,5
Danish Wholesale Imports,15/04/2005,7
"Diecast Classics Inc,",11/02/2004,10
"Diecast Classics Inc,",20/07/2004,6
"Diecast Classics Inc,",19/08/2004,6
"Diecast Classics Inc,",30/05/2005,8
Diecast Collectables,12/09/2003,9
Diecast Collectables,26/04/2004,7
"Double Decker Gift Stores, Ltd",14/11/2003,9
"Double Decker Gift Stores, Ltd",22/01/2004,9
"Dragon Souveniers, Ltd,",16/04/2003,6
"Dragon Souveniers, Ltd,",19/09/2003,7
"Dragon Souveniers, Ltd,",22/10/2003,9
"Dragon Souveniers, Ltd,",8/04/2004,6
"Dragon Souveniers, Ltd,",3/02/2005,5
Enaco Distributors,21/04/2003,5
Enaco Distributors,26/11/2003,6
Enaco Distributors,24/11/2004,6
Euro Shopping Channel,31/01/2003,9
Euro Shopping Channel,12/02/2003,7
Euro Shopping Channel,12/03/2003,10
Euro Shopping Channel,6/06/2003,4
Euro Shopping Channel,27/06/2003,10
Euro Shopping Channel,10/08/2003,9
Euro Shopping Channel,28/09/2003,8
Euro Shopping Channel,19/11/2003,9
Euro Shopping Channel,16/01/2004,9
Euro Shopping Channel,12/02/2004,5
Euro Shopping Channel,29/04/2004,8
Euro Shopping Channel,5/05/2004,10
Euro Shopping Channel,24/06/2004,7
Euro Shopping Channel,12/07/2004,5
Euro Shopping Channel,8/09/2004,9
Euro Shopping Channel,12/10/2004,9
Euro Shopping Channel,16/10/2004,10
Euro Shopping Channel,3/01/2005,5
Euro Shopping Channel,16/02/2005,10
Euro Shopping Channel,22/02/2005,10
Euro Shopping Channel,5/03/2005,4
Euro Shopping Channel,15/03/2005,4
Euro Shopping Channel,13/05/2005,6
Euro Shopping Channel,31/05/2005,8
Euro Shopping Channel,2/10/2005,4
"FunGiftIdeas,com",21/10/2003,5
"FunGiftIdeas,com",11/04/2004,5
"FunGiftIdeas,com",3/03/2005,9
"Gift Depot Inc,",12/01/2003,4
"Gift Depot Inc,",11/05/2003,8
"Gift Depot Inc,",28/06/2004,10
"Gift Depot Inc,",5/05/2005,6
"Gift Ideas Corp,",9/03/2003,6
"Gift Ideas Corp,",16/06/2003,7
"Gift Ideas Corp,",12/04/2004,5
"Gifts4AllAges,com",30/06/2004,6
"Gifts4AllAges,com",9/10/2004,9
"Gifts4AllAges,com",5/06/2005,8
"giftsbymail,co,uk",11/01/2004,9
"giftsbymail,co,uk",20/03/2004,4
Handji Gifts& Co,9/01/2004,7
Handji Gifts& Co,2/04/2004,4
Handji Gifts& Co,15/06/2004,10
Handji Gifts& Co,23/04/2005,6
Heintze Collectables,17/10/2003,8
Heintze Collectables,22/10/2004,9
Herkku Gifts,18/11/2003,5
Herkku Gifts,11/12/2003,6
Herkku Gifts,9/03/2004,8
"Iberia Gift Imports, Corp,",14/11/2003,8
"Iberia Gift Imports, Corp,",10/06/2004,5
"La Corne D'abondance, Co,",4/01/2003,9
"La Corne D'abondance, Co,",28/08/2004,9
"La Corne D'abondance, Co,",20/11/2004,6
La Rochelle Gifts,12/01/2003,8
La Rochelle Gifts,23/07/2004,5
La Rochelle Gifts,29/10/2004,9
La Rochelle Gifts,2/03/2005,6
La Rochelle Gifts,31/05/2005,9
"Land of Toys Inc,",24/02/2003,7
"Land of Toys Inc,",5/07/2004,8
"Land of Toys Inc,",9/08/2004,4
"Land of Toys Inc,",15/11/2004,9
L'ordine Souveniers,11/06/2003,6
L'ordine Souveniers,7/06/2004,7
L'ordine Souveniers,5/10/2005,5
Lyon Souveniers,7/01/2003,8
Lyon Souveniers,12/09/2004,5
Lyon Souveniers,17/03/2005,4
Marseille Mini Autos,5/08/2003,7
Marseille Mini Autos,25/11/2004,8
Marseille Mini Autos,1/06/2005,5
"Marta's Replicas Co,",27/08/2004,7
"Marta's Replicas Co,",13/10/2004,4
"Men 'R' US Retailers, Ltd,",10/11/2003,9
"Men 'R' US Retailers, Ltd,",1/09/2004,5
"Microscale Inc,",11/03/2004,9
"Microscale Inc,",20/04/2004,4
Mini Auto Werke,11/04/2003,4
Mini Auto Werke,21/10/2003,4
Mini Auto Werke,3/10/2005,10
Mini Caravy,6/04/2004,4
Mini Caravy,13/04/2004,5
Mini Caravy,14/04/2005,10
Mini Classics,25/11/2003,4
Mini Classics,15/10/2004,9
"Mini Creations Ltd,",8/10/2003,10
"Mini Creations Ltd,",14/11/2003,8
"Mini Creations Ltd,",1/07/2005,5
"Mini Gifts Distributors Ltd,",7/02/2003,4
"Mini Gifts Distributors Ltd,",26/03/2003,4
"Mini Gifts Distributors Ltd,",8/08/2003,6
"Mini Gifts Distributors Ltd,",11/12/2003,6
"Mini Gifts Distributors Ltd,",20/07/2004,9
"Mini Gifts Distributors Ltd,",20/08/2004,8
"Mini Gifts Distributors Ltd,",12/10/2004,9
"Mini Gifts Distributors Ltd,",21/10/2004,4
"Mini Gifts Distributors Ltd,",3/11/2004,5
"Mini Gifts Distributors Ltd,",19/11/2004,7
"Mini Gifts Distributors Ltd,",19/01/2005,7
"Mini Gifts Distributors Ltd,",23/01/2005,10
"Mini Gifts Distributors Ltd,",17/02/2005,8
"Mini Gifts Distributors Ltd,",28/02/2005,8
"Mini Gifts Distributors Ltd,",23/03/2005,7
"Mini Gifts Distributors Ltd,",3/04/2005,6
"Mini Gifts Distributors Ltd,",29/05/2005,6
"Mini Wheels Co,",12/01/2003,6
"Mini Wheels Co,",25/03/2003,7
"Mini Wheels Co,",18/11/2004,9
"Motor Mint Distributors Inc,",3/10/2003,8
"Motor Mint Distributors Inc,",4/03/2004,5
"Motor Mint Distributors Inc,",17/11/2004,10
Muscle Machine Inc,12/02/2003,10
Muscle Machine Inc,6/03/2003,4
Muscle Machine Inc,12/01/2004,4
Muscle Machine Inc,7/07/2004,4
"Norway Gifts By Mail, Co,",10/05/2003,5
"Norway Gifts By Mail, Co,",21/08/2004,7
"Online Diecast Creations Co,",1/06/2003,6
"Online Diecast Creations Co,",20/11/2003,6
"Online Diecast Creations Co,",11/04/2004,5
Online Mini Collectables,8/02/2004,5
Online Mini Collectables,9/10/2004,10
"Osaka Souveniers Co,",13/04/2004,9
"Osaka Souveniers Co,",1/12/2004,7
"Oulu Toy Supplies, Inc,",21/09/2003,4
"Oulu Toy Supplies, Inc,",4/12/2004,7
"Oulu Toy Supplies, Inc,",31/01/2005,9
Petit Auto,18/02/2004,6
Petit Auto,21/07/2004,10
Petit Auto,30/05/2005,8
Quebec Home Shopping Network,11/05/2003,9
Quebec Home Shopping Network,17/06/2004,7
Quebec Home Shopping Network,5/01/2005,10
Reims Collectables,5/07/2003,7
Reims Collectables,7/10/2003,8
Reims Collectables,24/11/2004,7
Reims Collectables,15/12/2004,5
Reims Collectables,30/03/2005,10
Rovelli Gifts,17/02/2003,8
Rovelli Gifts,11/05/2003,8
Rovelli Gifts,11/12/2004,9
"Royal Canadian Collectables, Ltd,",4/02/2004,4
"Royal Canadian Collectables, Ltd,",20/08/2004,4
Royale Belge,13/08/2003,5
Royale Belge,4/11/2003,4
Royale Belge,22/11/2004,10
Royale Belge,1/10/2005,6
Salzburg Collectables,28/04/2003,6
Salzburg Collectables,16/07/2004,8
Salzburg Collectables,24/11/2004,4
Salzburg Collectables,17/05/2005,8
"Saveley & Henriot, Co,",25/11/2003,6
"Saveley & Henriot, Co,",1/02/2004,7
"Saveley & Henriot, Co,",3/02/2004,7
Scandinavian Gift Ideas,23/10/2003,10
Scandinavian Gift Ideas,9/08/2004,8
Scandinavian Gift Ideas,3/03/2005,10
"Signal Collectibles Ltd,",9/12/2003,7
"Signal Collectibles Ltd,",2/10/2004,8
Signal Gift Stores,21/05/2003,7
Signal Gift Stores,8/06/2004,9
Signal Gift Stores,29/11/2004,5
"Souveniers And Things Co,",16/07/2003,5
"Souveniers And Things Co,",19/07/2004,7
"Souveniers And Things Co,",17/12/2004,8
"Souveniers And Things Co,",29/05/2005,4
"Stylish Desk Decors, Co,",11/06/2003,8
"Stylish Desk Decors, Co,",6/12/2003,10
"Stylish Desk Decors, Co,",12/03/2004,5
Suominen Souveniers,8/01/2003,7
Suominen Souveniers,5/05/2004,4
Suominen Souveniers,1/06/2005,6
"Super Scale Inc,",26/11/2003,7
"Super Scale Inc,",5/04/2004,6
"Technics Stores Inc,",24/07/2003,4
"Technics Stores Inc,",28/10/2003,8
"Technics Stores Inc,",11/02/2004,4
"Technics Stores Inc,",1/05/2005,5
"Tekni Collectables Inc,",12/01/2003,4
"Tekni Collectables Inc,",29/03/2004,4
"Tekni Collectables Inc,",18/05/2004,5
"Tekni Collectables Inc,",4/03/2005,8
The Sharp Gifts Warehouse,14/06/2004,9
